Country,Code,Continent,Population,GDP per Capita,Gender Inequality Index
Congo,COG,Africa,5835814,3234.393,0.571
Colombia,COL,South America,51516560,14648.592,0.752
Comoros,COM,Africa,821632,3228.5269,0.558
Cabo Verde,CPV,Africa,587936,6114.1333,0.662
Costa Rica,CRI,North America,5153959,21199.281,0.809
Cyprus,CYP,Europe,1244193,41701.703,0.896
Czechia,CZE,Europe,10510748,40740.992,0.889
Germany,DEU,Europe,83408560,53179.656,0.942
Djibouti,DJI,Africa,1105562,4913.2563,0.509
Dominica,DMA,North America,72435,10878.037,0.72
Denmark,DNK,Europe,5854246,57962.652,0.948
Dominican Republic,DOM,North America,11117873,18626.078,0.767
Algeria,DZA,Africa,44177964,11039.806,0.745
Ecuador,ECU,South America,17797736,10668.758,0.74
Egypt,EGY,Africa,109262184,11566.05,0.731
Spain,ESP,Europe,47486932,37913.074,0.905
Estonia,EST,Europe,1328704,38717.695,0.89
Ethiopia,ETH,Africa,120283024,2319.0684,0.498
Finland,FIN,Europe,5535982,48753.355,0.94
Fiji,FJI,Oceania,924615,10359.204,0.73
France,FRA,Europe,64531448,44993.125,0.903
Micronesia (Federated States of),FSM,Oceania,113143,3315.2302,0.628
Gabon,GAB,Africa,2341185,13813.723,0.706
United Kingdom of Great Britain and Northern Ireland,GBR,Europe,67281040,44978.715,0.929
Georgia,GEO,Europe,3757984,15486.659,0.802
Ghana,GHA,Africa,32833036,5435.238,0.632
Guinea,GIN,Africa,13531909,2640.3442,0.465
Gambia,GMB,Africa,2639922,2076.5664,0.5
Guinea-Bissau,GNB,Africa,2060730,1831.3832,0.483
Equatorial Guinea,GNQ,Africa,1634473,14637.008,0.596
Greece,GRC,Europe,10445368,29548.04,0.887
Grenada,GRD,North America,124624,13688.256,0.795
Guatemala,GTM,North America,17608484,8926.7,0.627
Guyana,GUY,South America,804571,21925.188,0.714
Hong Kong,HKG,Asia,7494580,59978.15,0.952
Honduras,HND,North America,10278346,5572.177,0.621
Croatia,HRV,Europe,4060139,31635.824,0.858
Haiti,HTI,North America,11447575,2870.145,0.535
Hungary,HUN,Europe,9709784,33593.152,0.846
Indonesia,IDN,Asia,273753184,11858.146,0.705
India,IND,Asia,1407563904,6592.042,0.633
Ireland,IRL,Europe,4986525,102496.22,0.945
Iran (Islamic Republic of),IRN,Asia,87923432,15004.6875,0.774
Iraq,IRQ,Asia,43533592,8962.395,0.686
Iceland,ISL,Europe,370338,53586.156,0.959
Israel,ISR,Asia,8900057,42061.242,0.919
Italy,ITA,Europe,59240336,41929.43,0.895
Jamaica,JAM,North America,2827701,9596.564,0.709
Jordan,JOR,Asia,11148288,9223.147,0.72
Japan,JPN,Asia,124612528,40784.383,0.925
Kazakhstan,KAZ,Asia,19196468,26110.53,0.811
Kenya,KEN,Africa,53005616,4743.4863,0.575
Kyrgyzstan,KGZ,Asia,6527742,4814.9565,0.692
Cambodia,KHM,Asia,16589031,4354.5654,0.593
Kiribati,KIR,Oceania,128883,1937.0894,0.624
Saint Kitts and Nevis,KNA,North America,47631,26485.816,0.777
"Korea, Republic of",KOR,Asia,51830136,44232.207,0.925
Lao People's Democratic Republic,LAO,Asia,7425055,7846.975,0.607
Lebanon,LBN,Asia,5592626,12977.202,0.706
Liberia,LBR,Africa,5193422,1423.2296,0.481
Libya,LBY,Africa,6735280,21965.174,0.718
Saint Lucia,LCA,North America,179663,13045.955,0.715
Sri Lanka,LKA,Asia,21773438,13386.682,0.782
Lesotho,LSO,Africa,2281464,2295.2322,0.514
Lithuania,LTU,Europe,2786652,39305.613,0.875
Luxembourg,LUX,Europe,639330,115683.49,0.93
Latvia,LVA,Europe,1873926,32081.455,0.863
Morocco,MAR,Africa,37076588,8058.397,0.683
"Moldova, Republic of",MDA,Europe,3061509,14009.226,0.767
Madagascar,MDG,Africa,28915652,1463.6288,0.501
Maldives,MDV,Asia,521469,18765.217,0.747
Mexico,MEX,North America,126705136,19086.105,0.758
Marshall Islands,MHL,Oceania,42074,5961.8164,0.639
North Macedonia,MKD,Europe,2103329,16467.316,0.77
Mali,MLI,Africa,21904990,2120.6233,0.428
Malta,MLT,Europe,526751,44658.72,0.918
Myanmar,MMR,Asia,53798088,4032.6257,0.585
Montenegro,MNE,Europe,627856,20602.5,0.832
Mongolia,MNG,Asia,3347782,11668.431,0.739
Mozambique,MOZ,Africa,32077074,1226.767,0.446
Mauritania,MRT,Africa,4614981,5307.522,0.556
Mauritius,MUS,Africa,1298922,20967.947,0.802
Malawi,MWI,Africa,19889742,1491.1339,0.512
Malaysia,MYS,Asia,33573872,26333.156,0.803
Namibia,NAM,Africa,2530150,9137.797,0.615
Niger,NER,Africa,25252722,1186.5768,0.4
Nigeria,NGA,Africa,213401328,4922.6323,0.535
Nicaragua,NIC,North America,6850546,5638.748,0.667
Netherlands,NLD,Europe,17501696,56617.35,0.941
Norway,NOR,Europe,5403021,65662.17,0.961
Nepal,NPL,Asia,30034988,3831.9485,0.602
New Zealand,NZL,Oceania,5129730,42915.453,0.937
Oman,OMN,Asia,4520474,34294.766,0.816
Pakistan,PAK,Asia,231402112,5232.1426,0.544
Panama,PAN,North America,4351264,29037.945,0.805
Peru,PER,South America,33715464,12514.651,0.762
Philippines,PHL,Asia,113880336,8094.693,0.699
Palau,PLW,Oceania,18050,13785.397,0.767
Papua New Guinea,PNG,Oceania,9949438,3677.4602,0.558
Poland,POL,Europe,38307724,34915.523,0.876
Portugal,PRT,Europe,10290109,33674.527,0.866
Paraguay,PRY,South America,6703802,13687.655,0.717
Qatar,QAT,Asia,2688239,92862.35,0.855
Romania,ROU,Europe,19328558,30776.93,0.821
Russian Federation,RUS,Asia,145102752,27960.102,0.822
Rwanda,RWA,Africa,13461891,2238.9573,0.534
Saudi Arabia,SAU,Asia,35950396,44339.312,0.875
Sudan,SDN,Africa,45657204,3701.069,0.508
Senegal,SEN,Africa,16876726,3495.4036,0.511
Singapore,SGP,Asia,5941063,106032.23,0.939
Solomon Islands,SLB,Oceania,707855,2406.1135,0.564
Sierra Leone,SLE,Africa,8420642,1614.6981,0.477
El Salvador,SLV,North America,6314165,9086.047,0.675
Serbia,SRB,Europe,7296771,19831.297,0.802
Sao Tome and Principe,STP,Africa,223118,4052.1233,0.618
Suriname,SUR,South America,612989,14766.748,0.73
Slovakia,SVK,Europe,5447621,31866.025,0.848
Slovenia,SVN,Europe,2119408,40036.484,0.918
Sweden,SWE,Europe,10467095,53613.42,0.947
Eswatini,SWZ,Africa,1192273,8856.829,0.597
Seychelles,SYC,Africa,106486,28760.516,0.785
Chad,TCD,Africa,17179744,1425.4945,0.394
Togo,TGO,Africa,8644829,2124.8042,0.539
Thailand,THA,Asia,71601104,17077.043,0.8
Tajikistan,TJK,Asia,9750078,3903.32,0.685
Timor-Leste,TLS,Asia,1320944,5032.41,0.607
Tonga,TON,Oceania,106034,6142.857,0.745
Trinidad and Tobago,TTO,North America,1525671,23037.143,0.81
Tunisia,TUN,Africa,12262949,10397.944,0.731
Turkey,TUR,Asia,84775408,31466.56,0.838
Tuvalu,TUV,Oceania,11229,4924.0273,0.641
"Tanzania, United Republic of",TZA,Africa,63588332,2581.6997,0.549
Uganda,UGA,Africa,45853780,2246.414,0.525
Ukraine,UKR,Europe,43531424,12943.614,0.773
Uruguay,URY,South America,3426265,22800.69,0.809
United States of America,USA,North America,336997632,63669.71,0.921
Uzbekistan,UZB,Asia,34081452,7734.8325,0.727
Saint Vincent and the Grenadines,VCT,North America,104340,13695.039,0.751
Viet Nam,VNM,Asia,97468024,10628.219,0.703
Vanuatu,VUT,Oceania,319146,2783.0195,0.607
Samoa,WSM,Oceania,218781,5534.127,0.707
South Africa,ZAF,Africa,59392256,13311.926,0.713
Zambia,ZMB,Africa,19473132,3236.789,0.565
Zimbabwe,ZWE,Africa,15993525,2115.1445,0.593
